Profissional,Profissional,Profissional,Profissional,Profissional,Profissional,Função,Serviço,Tempo Minutos ,Valor Normal a partir de:,Valor Promocional a partir de:,Valor Promocional para Pagamento à vista em Dinheiro a partir de:,Valor Promocional para Pagamento em Pix Débito ou Cartão 1 X a partir de:,Valor Promocional para Pagamento em Cartão 2 X a partir de:,Valor Promocional para Pagamento em Cartão 3 X a partir de: ,Valor Promocional para Pagamento em Cartão 4 X a partir de:,Valor Promocional para Pagamento em Cartão 5 X a partir de:,Oferta válida:,Oferta válida até:
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem técnica cinematográfica,120,699,499,499,524,587,597,608,618,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem técnica make express,120,489,349,349,366,410,418,425,432,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem técnica noiva,120,839,599,599,629,704,717,730,742,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem técnica madrinha ,120,559,399,399,419,469,478,486,494,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem técnica smokey eyes,120,559,399,399,419,469,478,486,494,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem técnica social,120,559,399,399,419,469,478,486,494,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Micropigmentação de lábios efeito batom,180,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Micropigmentação de lábios henna lips magic,180,419,299,299,314,352,358,364,370,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Micropigmentação de lábios hidralips color,180,839,599,599,629,704,717,730,742,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Micropigmentação de sobrancelhas técnica híbrida,180,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Micropigmentação de sobrancelhas técnica micro henna,180,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Micropigmentação de sobrancelhas técnica microblading,180,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Micropigmentação de sobrancelhas técnica nanoblading,180,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Micropigmentação de sobrancelhas técnica ombré shadow,180,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Micropigmentação de sobrancelhas técnica shadow,180,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Micropigmentação técnica de delineado de olhos,180,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Neutralização de lábios,180,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Neutralização de micropigmentação de sobrancelhas,180,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Neutralização labial,180,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Reconstrução de sobrancelhas com microagulhamento,60,699,499,499,524,587,597,608,618,Sim,20/12/2025
